strength_state,score_diff_group,home_score_diff,home_goal_weight,away_goal_weight,home_goal,away_goal,home_goal_percent,home_pred_goal_weight,away_pred_goal_weight,home_pred_goal,away_pred_goal,home_pred_goal_percent,home_shot_weight,away_shot_weight,home_shot,away_shot,home_shot_percent,home_miss,away_miss,home_miss_percent,home_block,away_block,home_block_percent,home_fenwick_weight,away_fenwick_weight,home_fenwick,away_fenwick,home_fenwick_percent,home_corsi_weight,away_corsi_weight,home_corsi,away_corsi,home_corsi_percent
5v4,trailing,-2,0.8686440677966102,1.1781609195402298,881,625,0.5849933598937583,0.8737737547507454,1.1688538101523873,864.9541382691818,645.1729068271814,0.572769119709387,0.8566556081559623,1.2009563127090301,6850,4815,0.5872267466780968,2739,1879,0.5931139021221308,286,210,0.5766129032258065,0.8542067923056293,1.2058023884089892,10470,7319,0.5885659677328686,0.8542037445717947,1.2058084614611597,10756,7529,0.5882417281925075
5v4,trailing,-1,0.8686440677966102,1.1781609195402298,2012,1458,0.5798270893371757,0.8737737547507454,1.1688538101523873,1989.0652476558453,1454.5069531388574,0.5776168268511437,0.8566556081559623,1.2009563127090301,15500,11128,0.5820940363527114,6262,4282,0.5938922610015175,606,487,0.5544373284537969,0.8542067923056293,1.2058023884089892,23774,16868,0.5849613700113183,0.8542037445717947,1.2058084614611597,24380,17355,0.5841619743620462
5v4,tied,0,0.9309944911568571,1.0800538176925665,3449,2973,0.5370601058860168,0.9148968878870334,1.1025593522120345,3576.9402189194207,2968.122729975263,0.5465096740625676,0.9304245283018868,1.0808219178082192,27560,23725,0.5373891001267427,11079,9143,0.5478686578973395,1017,978,0.5097744360902255,0.9257864474434518,1.0871487960715382,42088,35841,0.5400813561061992,0.9270850249391022,1.085363535131318,43105,36819,0.5393248586156849
5v4,leading,1,0.9944412770809579,1.0056212164889018,1897,1877,0.5026497085320615,1.002904910154954,0.9971118693650664,1916.423041633795,1881.8201172491526,0.5045551223206598,1.0558473389355743,0.9497637795275591,14216,15091,0.4850718258436551,5787,5820,0.4985784440423882,500,653,0.4336513443191674,1.0445301895329546,0.9591113675706867,21900,22788,0.49006444683136413,1.0473934812487729,0.9567098596601354,22400,23441,0.48864553565585395
5v4,leading,2,0.9944412770809579,1.0056212164889018,905,865,0.5112994350282486,1.002904910154954,0.9971118693650664,919.0163462678897,935.9959483635607,0.4954233181783185,1.0558473389355743,0.9497637795275591,6667,7463,0.4718329794762916,2821,3096,0.4767618725705594,251,367,0.40614886731391586,1.0445301895329546,0.9591113675706867,10393,11424,0.4763716367969932,1.0473934812487729,0.9567098596601354,10644,11791,0.4744372632048139
5v4,leading,3,0.9944412770809579,1.0056212164889018,706,727,0.4926727145847872,1.002904910154954,0.9971118693650664,686.0549472738054,724.1375188725066,0.4864973851041869,1.0558473389355743,0.9497637795275591,4821,6021,0.4446596568898727,1962,2365,0.4534319389877513,211,261,0.4470338983050847,1.0445301895329546,0.9591113675706867,7489,9113,0.4510902300927599,1.0473934812487729,0.9567098596601354,7700,9374,0.45097809534965444
5v3,trailing,-3,0.831858407079646,1.2533333333333334,35,31,0.5303030303030303,0.8338158354461878,1.248915939430623,42.38621143158524,29.941000672057264,0.5860340831449055,0.8406219630709426,1.2339514978601998,196,133,0.5957446808510638,72,50,0.5901639344262295,1,1,0.5,0.8325286662643331,1.2518148820326678,303,214,0.586073500967118,0.8319327731092437,1.2531645569620253,304,215,0.5857418111753372
5v3,trailing,-2,0.831858407079646,1.2533333333333334,68,43,0.6126126126126126,0.8338158354461878,1.248915939430623,50.45318561419843,43.55561810545622,0.5366857530136836,0.8406219630709426,1.2339514978601998,248,217,0.5333333333333333,89,69,0.5632911392405063,2,0,1.0,0.8325286662643331,1.2518148820326678,405,329,0.5517711171662125,0.8319327731092437,1.2531645569620253,407,329,0.5529891304347826
5v3,trailing,-1,0.831858407079646,1.2533333333333334,123,76,0.6180904522613065,0.8338158354461878,1.248915939430623,127.0630437750369,73.31721522100268,0.6341095894957809,0.8406219630709426,1.2339514978601998,585,351,0.625,241,132,0.646112600536193,6,3,0.6666666666666666,0.8325286662643331,1.2518148820326678,949,559,0.6293103448275862,0.8319327731092437,1.2531645569620253,955,562,0.6295319709953856
5v3,tied,0,0.94375,1.0633802816901408,160,142,0.5298013245033113,0.9040602215760286,1.1187196527905667,171.084888247773,138.25719570741055,0.553060502018727,0.9158415841584159,1.1011904761904763,808,672,0.5459459459459459,341,258,0.5692821368948247,6,9,0.4,0.9094728800611154,1.1105410447761195,1309,1072,0.5497690046199076,0.9110266159695818,1.1082331174838114,1315,1081,0.5488313856427379
